Console,Title,Licensee,Released
NES,Super Spy Hunter,Sunsoft,1992-02-01
NES,Super Team Games,Nintendo,1988-11-01
NES,Superman,Seika,1988-12-01
NES,Swamp Thing,THQ,1992-12-01
NES,Sword Master,Activision,1992-01-01
NES,Swords and Serpents,Acclaim,1990-08-01
NES,Taboo: The Sixth Sense,Tradewest,1989-04-01
NES,Tag Team Wrestling,Data East,1986-10-01
NES,Tale Spin,Capcom,1991-12-01
NES,Target: Renegade,Taito Software,1990-03-01
NES,Tecmo Baseball,Tecmo,1989-01-01
NES,Tecmo Bowl,Tecmo,1989-02-01
NES,Tecmo NBA Basketball,Tecmo,1992-11-01
NES,Tecmo Super Bowl,Tecmo,1991-12-01
NES,Tecmo World Cup Soccer,Tecmo,1992-09-01
NES,Tecmo World Wrestling,Tecmo,1990-04-01
NES,Teenage Mutant Ninja Turtles,Ultra Soft,1989-06-01
NES,Teenage Mutant Ninja Turtles II: The Arcade Game,Ultra Soft,1990-12-01
NES,Teenage Mutant Ninja Turtles III: The Manhattan Project,Ultra Soft,1992-02-01
NES,Teenage Mutant Ninja Turtles: Tournament Fighters,Konami,1994-02-01
NES,Tennis,Nintendo,1985-10-01
NES,Terminator 2: Judgment Day,Acclaim,1992-02-01
NES,Terra Cresta,Vic Tokai,1990-03-01
NES,Tetris,Nintendo,1989-11-01
NES,Tetris 2,Nintendo,1993-10-01
NES,The Addams Family,Ocean,1992-01-01
NES,The Addams Family: Pugsley's Scavenger Hunt,Ocean,1993-08-01
NES,The Adventures of Bayou Billy,Konami,1989-06-01
NES,The Adventures of Dino Riki,Hudson Soft,1989-09-01
NES,The Adventures of Gilligan's Island,Bandai,1990-07-01
NES,The Adventures of Lolo,Hal America,1989-04-01
